LineString,Time
"LINESTRING(-0.077765 51.513138, -0.077797 51.513111)",
"LINESTRING(-0.077797 51.513111, -0.077849 51.513084)",
"LINESTRING(-0.077849 51.513084, -0.077899 51.513057)",
"LINESTRING(-0.077899 51.513057, -0.078111 51.512945)",
"LINESTRING(-0.078111 51.512945, -0.078321 51.512833)",
"LINESTRING(-0.078321 51.512833, -0.078439 51.512772)",
"LINESTRING(-0.078439 51.512772, -0.078655 51.51267)",
"LINESTRING(-0.078655 51.51267, -0.078857 51.51257)",
"LINESTRING(-0.078857 51.51257, -0.078857 51.51257)",
"LINESTRING(-0.078857 51.51257, -0.079117 51.512442)",
"LINESTRING(-0.079117 51.512442, -0.079225 51.512394)",
"LINESTRING(-0.079225 51.512394, -0.079345 51.512338)",
"LINESTRING(-0.079345 51.512338, -0.079534 51.512279)",
"LINESTRING(-0.079534 51.512279, -0.079681 51.512234)",
"LINESTRING(-0.079681 51.512234, -0.079916 51.512166)",
"LINESTRING(-0.079916 51.512166, -0.079979 51.51215)",
"LINESTRING(-0.079979 51.51215, -0.080051 51.512132)",12:00
"LINESTRING(-0.080051 51.512132, -0.08013 51.512113)",
"LINESTRING(-0.08013 51.512113, -0.080209 51.512092)",
"LINESTRING(-0.080209 51.512092, -0.080385 51.512052)",
"LINESTRING(-0.080385 51.512052, -0.080811 51.511915)",
"LINESTRING(-0.080811 51.511915, -0.080832 51.511909)",
"LINESTRING(-0.080832 51.511909, -0.081246 51.511799)",
"LINESTRING(-0.081246 51.511799, -0.081575 51.511721)",
"LINESTRING(-0.081575 51.511721, -0.081843 51.511662)",
"LINESTRING(-0.081843 51.511662, -0.082109 51.511612)",
"LINESTRING(-0.082109 51.511612, -0.082316 51.511585)",
"LINESTRING(-0.082316 51.511585, -0.082506 51.511573)",
"LINESTRING(-0.082506 51.511573, -0.082679 51.511571)",
"LINESTRING(-0.082679 51.511571, -0.083 51.511576)",
"LINESTRING(-0.083 51.511576, -0.083049 51.511246)",
"LINESTRING(-0.083049 51.511246, -0.083066 51.511117)",
"LINESTRING(-0.083066 51.511117, -0.083066 51.511117)",
"LINESTRING(-0.083066 51.511117, -0.083068 51.511102)",
"LINESTRING(-0.083068 51.511102, -0.083079 51.511039)",
"LINESTRING(-0.083079 51.511039, -0.083106 51.510945)",
"LINESTRING(-0.083106 51.510945, -0.083193 51.51066)",
"LINESTRING(-0.083193 51.51066, -0.083213 51.510594)",13:00
"LINESTRING(-0.083213 51.510594, -0.083241 51.510517)",
"LINESTRING(-0.083241 51.510517, -0.083358 51.510204)",
"LINESTRING(-0.083358 51.510204, -0.083489 51.509895)",
"LINESTRING(-0.083489 51.509895, -0.083564 51.509746)",
"LINESTRING(-0.083564 51.509746, -0.083762 51.509428)",
"LINESTRING(-0.083762 51.509428, -0.083762 51.509428)",
"LINESTRING(-0.083762 51.509428, -0.083804 51.509361)",
"LINESTRING(-0.083804 51.509361, -0.083811 51.50935)",
"LINESTRING(-0.083811 51.50935, -0.083821 51.509317)",
"LINESTRING(-0.083821 51.509317, -0.084298 51.509377)",
"LINESTRING(-0.084298 51.509377, -0.085298 51.509504)",
"LINESTRING(-0.085298 51.509504, -0.08607 51.509609)",14:00
"LINESTRING(-0.08607 51.509609, -0.08607 51.509609)",
"LINESTRING(-0.08607 51.509609, -0.08613 51.509617)",
"LINESTRING(-0.08613 51.509617, -0.086182 51.509624)",
"LINESTRING(-0.086182 51.509624, -0.086237 51.50963)",
"LINESTRING(-0.086237 51.50963, -0.086371 51.509654)",
"LINESTRING(-0.086371 51.509654, -0.08665 51.509687)",
"LINESTRING(-0.08665 51.509687, -0.086814 51.50971)",
"LINESTRING(-0.086814 51.50971, -0.087067 51.509746)",
"LINESTRING(-0.087067 51.509746, -0.087294 51.509778)",
"LINESTRING(-0.087294 51.509778, -0.087401 51.509793)",
"LINESTRING(-0.087401 51.509793, -0.087987 51.509877)",
"LINESTRING(-0.087987 51.509877, -0.088117 51.509897)",
"LINESTRING(-0.088117 51.509897, -0.088126 51.509899)",
"LINESTRING(-0.088126 51.509899, -0.088244 51.509918)",
"LINESTRING(-0.088244 51.509918, -0.088352 51.509937)",
"LINESTRING(-0.088352 51.509937, -0.088403 51.509948)",
"LINESTRING(-0.088403 51.509948, -0.088453 51.509958)",
"LINESTRING(-0.088453 51.509958, -0.08846 51.50996)",
"LINESTRING(-0.08846 51.50996, -0.088665 51.510011)",
"LINESTRING(-0.088665 51.510011, -0.088838 51.510059)",
"LINESTRING(-0.088838 51.510059, -0.089097 51.510134)",
"LINESTRING(-0.089097 51.510134, -0.089494 51.510249)",
"LINESTRING(-0.089494 51.510249, -0.089555 51.510265)",
"LINESTRING(-0.089555 51.510265, -0.089614 51.510281)",
"LINESTRING(-0.089614 51.510281, -0.089687 51.510303)",
"LINESTRING(-0.089687 51.510303, -0.089908 51.510369)",
"LINESTRING(-0.089908 51.510369, -0.090186 51.510426)",15:00
"LINESTRING(-0.090186 51.510426, -0.090253 51.510435)",
"LINESTRING(-0.090253 51.510435, -0.091 51.510544)",
"LINESTRING(-0.091 51.510544, -0.091118 51.510565)",
"LINESTRING(-0.091118 51.510565, -0.091199 51.510581)",
"LINESTRING(-0.091199 51.510581, -0.092002 51.510737)",
"LINESTRING(-0.092002 51.510737, -0.092262 51.510785)",
"LINESTRING(-0.092262 51.510785, -0.092407 51.510813)",
"LINESTRING(-0.092407 51.510813, -0.092523 51.510836)",
"LINESTRING(-0.092523 51.510836, -0.092638 51.510859)",
"LINESTRING(-0.092638 51.510859, -0.092689 51.510869)",
"LINESTRING(-0.092689 51.510869, -0.092722 51.510875)",
"LINESTRING(-0.092722 51.510875, -0.093009 51.510929)",
"LINESTRING(-0.093009 51.510929, -0.093174 51.510958)",
"LINESTRING(-0.093174 51.510958, -0.093223 51.510964)",
"LINESTRING(-0.093223 51.510964, -0.09327 51.51097)",
"LINESTRING(-0.09327 51.51097, -0.093433 51.510989)",
"LINESTRING(-0.093433 51.510989, -0.094107 51.511071)",
"LINESTRING(-0.094107 51.511071, -0.094561 51.511128)",
"LINESTRING(-0.094561 51.511128, -0.095044 51.51119)",
"LINESTRING(-0.095044 51.51119, -0.095312 51.511224)",16:00
"LINESTRING(-0.095312 51.511224, -0.095548 51.511245)",
"LINESTRING(-0.095548 51.511245, -0.095882 51.511268)",
"LINESTRING(-0.095882 51.511268, -0.09594 51.511272)",
"LINESTRING(-0.09594 51.511272, -0.095991 51.51125)",
"LINESTRING(-0.095991 51.51125, -0.096022 51.51124)",
"LINESTRING(-0.096022 51.51124, -0.09613 51.511228)",
"LINESTRING(-0.09613 51.511228, -0.096848 51.511243)",
"LINESTRING(-0.096848 51.511243, -0.098717 51.511276)",
"LINESTRING(-0.098717 51.511276, -0.09996 51.511263)",
"LINESTRING(-0.09996 51.511263, -0.100614 51.511258)",
"LINESTRING(-0.100614 51.511258, -0.101439 51.51117)",17:00
